St. Clair River - Flow ,,,,,,,,,,,,
Units: cubic meters per second,,,,,,,,,,,,
"Summary: The St. Claire River flow at the water level station in Port Huron, Michigan is provided - Monthly flows are computed as an average of daily calculated flows. 
",,,,,,,,,,,,
Reference: https://waterdata.usgs.gov/nwis/inventory?site_no=04159130&agency_cd=USGS,,,,,,,,,,,,
Note: --- means that no data is available for that date.,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,---,---,---,---,---,---,---,---,---,---,---,---
2001,---,---,---,---,---,---,---,---,---,---,---,---
2002,---,---,---,---,---,---,---,---,---,---,---,---
2003,---,---,---,---,---,---,---,---,---,---,---,---
2004,---,---,---,---,---,---,---,---,---,---,---,---
2005,---,---,---,---,---,---,---,---,---,---,---,---
2006,---,---,---,---,---,---,---,---,---,---,---,---
2007,---,---,---,---,---,---,---,---,---,---,---,---
2008,---,---,---,---,---,---,---,---,---,5235.784432,5122.517057,4808.20009
2009,4442.912804,4723.249558,5000.754628,5230.121063,5329.230017,5504.794449,5513.289502,5450.992446,5487.804343,5402.853811,5501.962765,5366.041914
2010,4731.744611,4145.585943,5054.556631,5275.428014,5105.52695,5080.041791,5133.843794,5247.11117,5283.923067,5249.942854,5048.893263,4983.764522
2011,4077.625518,3802.952132,4244.694897,4825.190196,4961.111047,5031.903156,4963.942731,5181.982429,5080.041791,5074.378422,4995.091259,4785.546615
2012,4714.754505,4782.71493,4836.516934,5122.517057,5006.417997,4966.774415,4904.477359,4955.447678,4859.170409,4819.526827,4709.091136,4621.30892
2013,4309.823638,4168.239418,4556.180179,4607.150498,4983.764522,4989.427891,4881.823884,5003.586312,5026.239788,4949.784309,5085.70516,4961.111047
2014,3746.318444,4049.308674,4728.912927,5128.180426,5317.903279,5459.487499,5572.754874,5550.101399,5649.210353,5872.913419,5867.250051,5912.557001
2015,4502.378176,4009.665092,5292.41812,5952.200582,5940.873845,5938.04216,5753.982675,5816.279732,5895.566894,5821.9431,5799.289625,5824.774785
2016,5810.616363,5703.012356,5943.705529,6181.567018,6116.438277,6065.467958,6008.83427,5946.537213,6051.309536,5949.368898,5974.854057,5680.358881
2017,5552.933084,5649.210353,5889.903526,5898.398579,5977.685742,6037.151114,6221.210599,6283.507656,6286.33934,6130.596699,6232.537337,6054.14122
2018,5063.051685,5510.457818,6294.834393,6102.279855,6124.93333,6263.685865,6079.62638,6096.616486,6198.557124,6359.963134,6292.002709,6156.081858
2019,5467.982552,5445.329077,6150.418489,6393.943347,6538.35925,6657.289995,6730.913789,6844.181164,6648.794942,6855.507902,6943.290118,6878.161377
2020,6827.191058,6920.636643,6866.834639,6914.973274,7002.75549,6917.804958,6940.458433,7005.587174,7011.250543,6999.923806,6926.300011,6866.834639
2021,6716.755367,5414.180549,6657.289995,6527.032513,6456.240403,6071.131326,6198.557124,6249.527443,6320.319553,6226.873968,6082.458064,5940.873845
2022,5419.843917,4697.764399,5804.952994,6008.83427,6068.299642,6079.62638,6048.477851,6099.44817,6113.606592,5974.854057,5909.725316,---
